,RunId,iteration,Step,reproduce_prob,growback_factor,Average,Oscillation
56,3548,4,100,0.1999999999999999,0.15,96.14,46.40570995007532
57,3549,4,100,0.2499999999999999,0.15,96.2,38.70354089031805
58,3550,4,100,0.3,0.15,89.54,78.1607519415153
59,3551,4,47,0.3999999999999999,0.15,103.53191489361704,75.16696869491048
60,3552,4,100,0.35,0.15,88.56,66.97714059551336
61,3553,4,14,0.4999999999999999,0.15,185.28571428571428,95.26966484385714
62,3554,4,100,0.4499999999999999,0.15,59.6,54.4434724175682
63,3555,4,17,0.5499999999999999,0.15,160.58823529411765,119.84637020713755
64,3556,4,13,0.6,0.15,200.84615384615384,132.3703695608263
65,3557,5,100,0.0,0.15,53.22,0.0
66,3558,5,100,0.0499999999999999,0.15,106.38,8.03702484915351
67,3559,5,100,0.0999999999999999,0.15,98.4,11.61580367879094
68,3560,5,100,0.15,0.15,99.94,20.07090120015324
69,3561,5,100,0.1999999999999999,0.15,98.44,42.03990327083413
70,3562,5,100,0.2499999999999999,0.15,95.9,37.36345207887414
71,3563,5,100,0.3,0.15,88.26,71.64931398121071
72,3564,5,100,0.35,0.15,88.48,90.32070109887366
73,3565,5,17,0.4499999999999999,0.15,167.94117647058823,121.61330064997898
74,3566,5,100,0.3999999999999999,0.15,69.98,52.53124235324028
75,3567,5,13,0.4999999999999999,0.15,201.84615384615384,110.36668311147832
76,3568,5,100,0.5499999999999999,0.15,83.0,61.749283458401926
77,3569,5,100,0.6,0.15,92.88,62.05931424143916
78,3570,6,100,0.0,0.15,45.42,0.0
79,3571,6,100,0.0499999999999999,0.15,107.7,7.638915579738127
80,3572,6,100,0.0999999999999999,0.15,103.44,13.90273740592703
81,3573,6,100,0.15,0.15,97.16,26.2027429544647
82,3574,6,100,0.1999999999999999,0.15,98.44,31.399571683654287
83,3575,6,100,0.2499999999999999,0.15,85.36,46.2360965896729
84,3576,6,100,0.3,0.15,97.22,53.39790387423795
85,3577,6,100,0.35,0.15,93.46,51.26637428608206
86,3578,6,100,0.3999999999999999,0.15,82.02,63.63427315706963
87,3579,6,15,0.4499999999999999,0.15,180.86666666666667,109.69874422919844
88,3580,6,12,0.5499999999999999,0.15,220.16666666666663,112.56348191606824
89,3581,6,11,0.6,0.15,236.3636363636364,99.5593209725057
90,3582,6,100,0.4999999999999999,0.15,101.3,76.04992561895352
91,3583,7,100,0.0,0.15,47.58,0.0
92,3584,7,100,0.0499999999999999,0.15,109.24,7.628374312733632
93,3585,7,100,0.0999999999999999,0.15,104.18,11.043627110324495
94,3586,7,100,0.15,0.15,99.92,19.622805364727867
95,3587,7,100,0.1999999999999999,0.15,99.06,28.736417183629168
96,3588,7,100,0.2499999999999999,0.15,90.54,42.84396825919279
97,3589,7,100,0.3,0.15,90.98,58.72384906845393
98,3590,7,100,0.35,0.15,89.06,53.786927364407326
99,3591,7,100,0.3999999999999999,0.15,45.82,69.45933701200731
100,3592,7,12,0.4999999999999999,0.15,220.41666666666663,109.1085231466008
101,3593,7,100,0.4499999999999999,0.15,80.9,73.38718343773704
102,3594,7,100,0.5499999999999999,0.15,82.72,64.13448098463209
103,3595,8,100,0.0,0.15,44.54,0.0
104,3596,7,100,0.6,0.15,88.08,58.3185776771176
105,3597,8,100,0.0499999999999999,0.15,103.5,8.220568859895225
106,3598,8,100,0.0999999999999999,0.15,98.78,14.283900109965009
107,3599,8,100,0.15,0.15,98.3,21.085662974554165
108,3600,8,100,0.1999999999999999,0.15,95.96,33.57084660070142
109,3601,8,100,0.2499999999999999,0.15,78.64,47.95814755103207
110,3602,8,100,0.3,0.15,92.02,47.15821400445418
111,3603,8,100,0.35,0.15,83.5,55.12485377152975
112,3604,8,81,0.3999999999999999,0.15,86.24,74.61325593777715
113,3605,8,13,0.4499999999999999,0.15,207.0,113.75480917556844
114,3606,8,13,0.5499999999999999,0.15,206.7692307692308,116.37220327879425
115,3607,8,51,0.4999999999999999,0.15,94.26,73.74115857524667
116,3608,8,11,0.6,0.15,237.3636363636364,115.74267529334936
117,3609,9,100,0.0,0.15,44.16,0.0
118,3610,9,100,0.0499999999999999,0.15,107.56,8.414874647799943
119,3611,9,100,0.0999999999999999,0.15,103.44,13.4902454367419
120,3612,9,100,0.15,0.15,92.68,23.42196145501155
121,3613,9,100,0.1999999999999999,0.15,89.26,31.86782252762335
122,3614,9,100,0.2499999999999999,0.15,96.4,35.0141416298444
123,3615,9,100,0.3,0.15,89.58,62.29685986680745
124,3616,9,16,0.3999999999999999,0.15,166.125,88.87574240589525
125,3617,9,100,0.35,0.15,87.66,80.75631371944814
126,3618,9,100,0.4499999999999999,0.15,74.94,63.45377743456325
127,3619,9,58,0.4999999999999999,0.15,51.44,84.78978224638169
128,3620,9,10,0.6,0.15,262.4,119.7506956870644
129,3621,9,100,0.5499999999999999,0.15,78.74,60.22122080954731
130,3622,10,100,0.0,0.15,49.96,0.0
131,3623,10,100,0.0499999999999999,0.15,106.0,9.532830060666775
132,3624,10,100,0.0999999999999999,0.15,95.74,17.247395701665553
133,3625,10,100,0.15,0.15,94.22,30.05654179656102
134,3626,10,100,0.1999999999999999,0.15,101.78,35.445377144403174
135,3627,10,100,0.2499999999999999,0.15,96.18,54.07740024663955
136,3628,10,100,0.3,0.15,79.98,49.14531436930064
137,3629,10,15,0.3999999999999999,0.15,187.86666666666667,95.52873044403351
138,3630,10,16,0.4499999999999999,0.15,166.3125,102.88651362614026
139,3631,10,100,0.35,0.15,94.8,51.003480302602
140,3632,10,13,0.5499999999999999,0.15,208.0,122.48385180682976
141,3633,10,100,0.4999999999999999,0.15,85.04,62.653718935558
142,3634,10,67,0.6,0.15,86.3,82.22545145256605
143,3635,11,100,0.0,0.15,49.12,0.0
144,3636,11,100,0.0499999999999999,0.15,108.74,8.6648167781076
145,3637,11,100,0.0999999999999999,0.15,102.04,11.689973511142442
146,3638,11,100,0.15,0.15,95.98,25.416909662848514
147,3639,11,100,0.1999999999999999,0.15,96.56,35.25017777616835
148,3640,11,100,0.2499999999999999,0.15,91.36,43.38366601293633
149,3641,11,100,0.3,0.15,96.56,55.99861503612061
150,3642,11,100,0.35,0.15,85.84,77.7890139835067
151,3643,11,14,0.4499999999999999,0.15,200.28571428571428,100.81894646275266
152,3644,11,16,0.4999999999999999,0.15,161.1875,98.72121895480444
